TICKET ID ; IV ; OV ; FV ; AV 
BOOKKEEPER-1;1;1;1;[]
BOOKKEEPER-5;1;1;1;[]
BOOKKEEPER-18;1;1;1;[]
BOOKKEEPER-19;1;1;1;[]
BOOKKEEPER-22;1;1;1;[]
BOOKKEEPER-27;1;1;1;[]
BOOKKEEPER-28;1;1;1;[]
BOOKKEEPER-29;1;1;1;[]
BOOKKEEPER-38;1;1;1;[]
BOOKKEEPER-39;1;1;1;[]
BOOKKEEPER-40;1;1;2;[1]
BOOKKEEPER-43;1;1;1;[]
BOOKKEEPER-50;1;1;1;[]
BOOKKEEPER-51;1;1;1;[]
BOOKKEEPER-52;1;1;1;[]
BOOKKEEPER-53;1;1;1;[]
BOOKKEEPER-55;1;1;3;[1, 2]
BOOKKEEPER-56;1;1;2;[1]
BOOKKEEPER-57;1;1;1;[]
BOOKKEEPER-58;1;1;1;[]
BOOKKEEPER-59;1;1;1;[]
BOOKKEEPER-61;1;1;1;[]
BOOKKEEPER-62;1;1;1;[]
BOOKKEEPER-63;1;1;1;[]
BOOKKEEPER-65;1;1;1;[]
BOOKKEEPER-66;1;1;1;[]
BOOKKEEPER-68;1;1;1;[]
BOOKKEEPER-69;1;1;1;[]
BOOKKEEPER-71;1;1;1;[]
BOOKKEEPER-72;1;1;2;[1]
BOOKKEEPER-74;1;1;2;[1]
BOOKKEEPER-79;1;1;1;[]
BOOKKEEPER-80;1;1;1;[]
BOOKKEEPER-81;1;1;1;[]
BOOKKEEPER-86;1;1;1;[]
BOOKKEEPER-87;1;1;1;[]
BOOKKEEPER-88;1;1;1;[]
BOOKKEEPER-92;1;1;1;[]
BOOKKEEPER-93;1;1;1;[]
BOOKKEEPER-94;1;1;1;[]
BOOKKEEPER-100;1;1;1;[]
BOOKKEEPER-106;1;1;1;[]
BOOKKEEPER-107;1;1;1;[]
BOOKKEEPER-112;1;1;2;[1]
BOOKKEEPER-113;1;1;2;[1]
BOOKKEEPER-115;1;1;1;[]
BOOKKEEPER-118;1;1;1;[]
BOOKKEEPER-119;1;1;1;[]
BOOKKEEPER-124;1;1;1;[]
BOOKKEEPER-125;1;1;1;[]
BOOKKEEPER-127;1;1;1;[]
BOOKKEEPER-128;1;1;1;[]
BOOKKEEPER-129;1;1;1;[]
BOOKKEEPER-131;1;1;1;[]
BOOKKEEPER-133;1;1;2;[1]
BOOKKEEPER-134;1;1;1;[]
BOOKKEEPER-135;1;1;2;[1]
BOOKKEEPER-137;1;1;2;[1]
BOOKKEEPER-138;1;1;1;[]
BOOKKEEPER-139;1;1;1;[]
BOOKKEEPER-140;1;1;2;[1]
BOOKKEEPER-142;1;2;2;[1]
BOOKKEEPER-150;1;2;2;[1]
BOOKKEEPER-152;1;2;2;[1]
BOOKKEEPER-153;1;2;2;[1]
BOOKKEEPER-156;1;2;2;[1]
BOOKKEEPER-162;1;2;2;[1]
BOOKKEEPER-163;1;2;2;[1]
BOOKKEEPER-167;1;2;2;[1]
BOOKKEEPER-169;1;2;2;[1]
BOOKKEEPER-174;1;2;2;[1]
BOOKKEEPER-186;1;2;2;[1]
BOOKKEEPER-197;2;2;2;[]
BOOKKEEPER-209;2;2;2;[]
BOOKKEEPER-215;2;2;2;[]
BOOKKEEPER-216;2;2;2;[]
BOOKKEEPER-217;2;2;2;[]
BOOKKEEPER-229;2;2;2;[]
BOOKKEEPER-231;2;2;2;[]
BOOKKEEPER-232;2;2;2;[]
BOOKKEEPER-234;2;2;2;[]
BOOKKEEPER-242;1;2;2;[1]
BOOKKEEPER-263;2;2;2;[]
BOOKKEEPER-273;2;2;2;[]
BOOKKEEPER-274;1;2;2;[1]
BOOKKEEPER-279;1;2;2;[1]
BOOKKEEPER-280;2;2;3;[2]
BOOKKEEPER-285;2;2;2;[]
BOOKKEEPER-286;2;2;2;[]
BOOKKEEPER-291;2;2;3;[2]
BOOKKEEPER-292;2;2;3;[2]
BOOKKEEPER-294;2;3;3;[2]
BOOKKEEPER-296;1;3;3;[1, 2]
BOOKKEEPER-302;2;3;3;[2]
BOOKKEEPER-313;3;3;6;[3, 4, 5]
BOOKKEEPER-326;2;3;3;[2]
BOOKKEEPER-327;1;3;3;[1, 2]
BOOKKEEPER-329;1;3;3;[1, 2]
BOOKKEEPER-330;1;3;3;[1, 2]
BOOKKEEPER-336;2;3;3;[2]
BOOKKEEPER-337;1;3;3;[1, 2]
BOOKKEEPER-343;2;3;3;[2]
BOOKKEEPER-349;2;3;3;[2]
BOOKKEEPER-355;2;3;3;[2]
BOOKKEEPER-363;3;3;8;[3, 4, 5, 6, 7]
BOOKKEEPER-365;1;3;14;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
BOOKKEEPER-382;1;3;3;[1, 2]
BOOKKEEPER-383;2;3;3;[2]
BOOKKEEPER-387;2;3;3;[2]
BOOKKEEPER-396;2;3;3;[2]
BOOKKEEPER-408;2;3;3;[2]
BOOKKEEPER-424;1;3;3;[1, 2]
BOOKKEEPER-439;2;3;3;[2]
BOOKKEEPER-442;2;3;3;[2]
BOOKKEEPER-446;3;3;6;[3, 4, 5]
BOOKKEEPER-457;2;3;3;[2]
BOOKKEEPER-500;2;3;3;[2]
BOOKKEEPER-530;2;3;3;[2]
BOOKKEEPER-543;2;3;3;[2]
BOOKKEEPER-544;3;3;6;[3, 4, 5]
BOOKKEEPER-548;4;4;5;[4]
BOOKKEEPER-549;4;4;5;[4]
BOOKKEEPER-554;4;5;5;[4]
BOOKKEEPER-556;5;5;6;[5]
BOOKKEEPER-559;4;5;6;[4, 5]
BOOKKEEPER-568;4;5;5;[4]
BOOKKEEPER-577;4;5;6;[4, 5]
BOOKKEEPER-578;-1;5;11;[-1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
BOOKKEEPER-579;4;5;6;[4, 5]
BOOKKEEPER-580;4;5;6;[4, 5]
BOOKKEEPER-581;4;5;6;[4, 5]
BOOKKEEPER-583;5;5;5;[]
BOOKKEEPER-584;4;5;6;[4, 5]
BOOKKEEPER-585;4;5;6;[4, 5]
BOOKKEEPER-594;-1;5;11;[-1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
BOOKKEEPER-596;4;6;6;[4, 5]
BOOKKEEPER-598;5;6;6;[5]
BOOKKEEPER-599;4;6;6;[4, 5]
BOOKKEEPER-600;4;6;6;[4, 5]
BOOKKEEPER-601;4;6;6;[4, 5]
BOOKKEEPER-602;4;6;8;[4, 5, 6, 7]
BOOKKEEPER-603;4;6;6;[4, 5]
BOOKKEEPER-607;4;6;6;[4, 5]
BOOKKEEPER-619;5;6;6;[5]
BOOKKEEPER-621;5;6;6;[5]
BOOKKEEPER-623;5;6;6;[5]
BOOKKEEPER-624;5;6;6;[5]
BOOKKEEPER-625;5;6;6;[5]
BOOKKEEPER-626;5;6;6;[5]
BOOKKEEPER-632;5;6;6;[5]
BOOKKEEPER-636;5;6;6;[5]
BOOKKEEPER-638;5;6;7;[5, 6]
BOOKKEEPER-641;5;6;6;[5]
BOOKKEEPER-646;5;6;6;[5]
BOOKKEEPER-654;4;6;8;[4, 5, 6, 7]
BOOKKEEPER-660;4;6;6;[4, 5]
BOOKKEEPER-664;5;6;7;[5, 6]
BOOKKEEPER-667;5;6;6;[5]
BOOKKEEPER-668;5;6;6;[5]
BOOKKEEPER-673;4;6;8;[4, 5, 6, 7]
BOOKKEEPER-676;5;6;7;[5, 6]
BOOKKEEPER-678;5;6;7;[5, 6]
BOOKKEEPER-686;4;6;6;[4, 5]
BOOKKEEPER-688;4;6;8;[4, 5, 6, 7]
BOOKKEEPER-695;7;7;9;[7, 8]
BOOKKEEPER-708;6;7;8;[6, 7]
BOOKKEEPER-710;6;7;8;[6, 7]
BOOKKEEPER-711;6;7;7;[6]
BOOKKEEPER-712;5;7;7;[5, 6]
BOOKKEEPER-714;6;7;8;[6, 7]
BOOKKEEPER-739;7;8;9;[7, 8]
BOOKKEEPER-752;6;8;8;[6, 7]
BOOKKEEPER-768;6;8;9;[6, 7, 8]
BOOKKEEPER-769;5;8;11;[5, 6, 7, 8, 9, 10]
BOOKKEEPER-794;7;9;11;[7, 8, 9, 10]
BOOKKEEPER-797;7;9;9;[7, 8]
BOOKKEEPER-802;8;9;10;[8, 9]
BOOKKEEPER-804;7;9;9;[7, 8]
BOOKKEEPER-805;7;9;9;[7, 8]
BOOKKEEPER-809;7;9;9;[7, 8]
BOOKKEEPER-813;7;9;9;[7, 8]
BOOKKEEPER-814;7;9;9;[7, 8]
BOOKKEEPER-815;7;9;9;[7, 8]
BOOKKEEPER-821;7;9;9;[7, 8]
BOOKKEEPER-823;8;9;10;[8, 9]
BOOKKEEPER-848;7;9;9;[7, 8]
BOOKKEEPER-852;7;9;12;[7, 8, 9, 10, 11]
BOOKKEEPER-890;10;11;11;[10]
BOOKKEEPER-893;10;11;11;[10]
BOOKKEEPER-898;10;11;11;[10]
BOOKKEEPER-899;10;11;11;[10]
BOOKKEEPER-900;10;11;11;[10]
BOOKKEEPER-903;9;11;12;[9, 10, 11]
BOOKKEEPER-904;11;11;11;[]
BOOKKEEPER-907;9;11;12;[9, 10, 11]
BOOKKEEPER-908;10;11;12;[10, 11]
BOOKKEEPER-909;10;11;11;[10]
BOOKKEEPER-910;10;11;11;[10]
BOOKKEEPER-911;10;11;11;[10]
BOOKKEEPER-917;11;11;11;[]
BOOKKEEPER-921;11;11;11;[]
BOOKKEEPER-924;10;11;12;[10, 11]
BOOKKEEPER-926;9;11;11;[9, 10]
BOOKKEEPER-927;10;11;12;[10, 11]
BOOKKEEPER-938;12;12;12;[]
BOOKKEEPER-940;12;12;12;[]
BOOKKEEPER-959;11;12;12;[11]
BOOKKEEPER-987;12;12;12;[]
BOOKKEEPER-999;11;12;12;[11]
BOOKKEEPER-1020;12;12;12;[]
BOOKKEEPER-1031;11;12;12;[11]
BOOKKEEPER-1071;12;12;12;[]
BOOKKEEPER-1079;12;12;12;[]
BOOKKEEPER-1102;12;12;12;[]
BOOKKEEPER-1103;12;12;12;[]
BOOKKEEPER-1105;12;12;13;[12]
